hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
100002,0.69156853607061,40,1,1,1,1,4,10,1,1,1,1
100004,1.47662738564269,39,1,2,1,1,4,220,4,2,2,2
100005,0.84289903961582,32,2,2,1,1,4,220,4,2,2,2
100008,0.88998345633632,37,2,2,1,1,4,220,3,2,2,2
100010,0.69145791831936,62,2,2,2,1,5,210,2,2,2,2
100014,0.61274384715062,83,2,3,4,1,6,10,1,1,1,1
100016,1.0830104835497,65,1,1,4,1,6,210,2,2,2,1
100017,1.61944186500069,44,1,2,2,1,5,210,2,4,4,1
100019,0.6380248492528,46,2,4,1,1,5,220,4,3,3,2
100019,0.72690516092293,14,2,1,5,2,1,220,4,3,3,3
100020,0.8492172927839,61,2,2,2,1,5,210,2,2,2,2
100026,1.04851840519157,40,2,2,1,2,4,220,3,1,1,1
100029,0.90338306657748,42,2,1,1,1,4,220,3,2,2,2
100034,0.63839701044158,51,2,2,1,2,5,210,2,1,1,2
100036,0.79254929150341,77,2,2,4,2,6,210,2,0,0,1
100037,1.00361380964744,47,1,4,1,1,5,210,2,2,2,2
100039,0.85961800093428,31,1,1,1,1,4,10,1,1,1,1
100042,0.37219115485082,52,2,4,1,1,5,10,1,1,1,1
100044,0.91144704380934,39,2,2,1,1,4,220,4,1,1,2
100044,0.95142583359091,10,1,1,5,2,1,220,4,1,1,4
100046,0.9214643295527,55,1,2,1,1,5,210,2,2,2,2
100047,0.8492172927839,58,2,2,2,1,5,210,2,1,1,2
100048,0.36480223677715,63,2,4,2,1,5,10,1,1,1,1
100049,0.63702819872428,75,1,2,4,1,6,210,2,2,2,1
100050,1.35700121842589,42,2,2,1,1,4,220,4,2,2,2
100050,1.45194697195826,12,2,1,5,2,1,220,4,2,2,4
100055,0.59570560597663,65,2,2,4,1,6,210,2,2,2,2
100056,0.81259876794529,56,2,2,2,1,5,210,2,1,1,2
100058,1.04887446992304,26,2,2,1,1,4,220,3,2,2,2
100061,0.35801189284079,67,2,4,1,1,6,10,1,0,0,1
100062,0.72123056702021,63,1,2,4,1,5,210,2,1,1,1
100063,1.53663908196418,48,1,1,1,1,5,220,4,4,4,1
100063,1.22264672244859,25,1,1,1,1,4,220,4,4,4,3
100065,0.35131907904912,58,2,3,1,1,5,10,1,1,1,1
100068,0.83774432980039,45,2,2,1,1,5,220,4,2,2,1
100068,0.85523499119208,11,2,1,5,2,1,220,4,2,2,4
100071,0.86338415312674,81,2,3,4,2,6,10,1,0,0,1
100074,1.57601351852801,19,1,1,1,1,3,230,2,1,1,2
100078,0.96679989831913,42,2,2,1,1,4,220,4,1,1,1
100079,1.52996459336081,50,2,2,1,1,5,220,3,3,3,2
100080,0.76446167659741,81,2,3,4,1,6,10,1,1,1,1
100084,0.87697437325624,49,2,4,1,1,5,230,2,1,1,1
100087,0.31670552713336,64,2,4,1,1,5,10,1,1,1,1
100090,1.53527004051437,45,2,2,1,1,5,220,3,1,1,1
100098,1.56416007120204,53,1,2,1,1,5,220,3,2,2,1
100099,1.29803959978515,40,1,2,1,1,4,220,6,2,2,2
100099,1.33072518737911,15,1,1,3,2,2,220,6,2,2,4
100103,1.08363589565718,10,1,1,5,2,1,230,3,1,1,2
100105,0.63732899547217,81,2,3,4,2,6,10,1,0,0,1
100108,0.6658849738013,62,1,2,1,1,5,210,2,1,1,1
100109,1.34974062611775,47,2,2,2,1,5,220,4,1,1,1
100109,1.32814454376278,12,1,1,5,2,1,220,4,1,1,3
100113,1.78010102474137,56,1,1,1,1,5,210,2,2,2,1
100120,0.70309108132638,65,2,1,4,2,6,10,1,0,0,1
100122,1.84179696235574,39,2,4,2,1,4,230,2,1,1,1
100128,0.43564705555366,53,1,4,1,1,5,10,1,2,2,1
100129,0.6626893419734,65,1,2,4,1,6,210,2,1,1,1
100130,0.82693045676689,69,1,2,4,1,6,210,2,2,2,1
100132,0.69145791831936,53,2,2,1,1,5,210,2,2,2,2
100137,0.50037833816815,80,1,4,4,1,6,10,1,1,1,1
100139,0.83076075893754,47,1,2,1,1,5,210,2,2,2,2
100141,0.95570253691325,20,1,2,1,1,3,220,4,0,0,1
100143,0.61332928559008,76,1,3,4,2,6,10,1,0,0,1
100153,0.72639040805258,32,1,2,2,1,4,220,4,2,2,2
100154,0.78128012686477,42,2,4,1,1,4,220,4,2,2,2
100154,0.95142583359091,11,1,1,5,2,1,220,4,2,2,4
100160,1.08088068016867,40,1,2,1,1,4,210,2,2,2,1
100161,0.86090297428704,58,1,2,1,1,5,210,2,1,1,1
100168,0.75103459622485,6,2,1,5,2,1,230,2,1,1,2
100169,2.54381758797962,38,2,2,2,1,4,220,3,1,1,2
100172,0.8539470005077,82,1,2,4,2,6,210,2,0,0,1
100174,0.82470680083054,38,1,2,1,1,4,220,4,1,1,2
100175,1.81954654148271,6,2,1,5,2,1,220,5,2,2,3
100176,2.47110991333319,47,1,4,1,1,5,230,2,2,2,1
100180,0.62032870570252,68,2,2,4,1,6,210,2,2,2,2
100181,0.47297115111543,59,1,1,2,1,5,10,1,1,1,1
100185,0.70948554098689,36,2,4,2,1,4,220,4,1,1,2
100185,0.79478830973039,14,2,1,5,2,1,220,4,1,1,3
100186,1.44087651159402,56,1,1,1,1,5,220,3,2,2,1
100188,0.61274384715062,87,2,3,4,2,6,10,1,0,0,1
100189,0.35801189284079,69,2,3,4,1,6,10,1,1,1,1
100192,0.74046061300667,70,2,2,4,1,6,210,2,1,1,1
100193,0.43045148714352,54,1,2,1,1,5,10,1,1,1,1
100202,0.60465141998433,45,1,2,1,1,5,220,4,2,2,1
100202,0.95289288719918,45,2,2,1,1,5,220,4,2,2,2
100203,1.92514878340974,21,1,1,1,1,3,220,4,1,1,3
100203,2.38177880260539,20,1,1,1,2,3,220,4,1,1,4
100207,0.52267089332746,30,2,1,2,2,4,10,1,0,0,1
100209,0.81506363073121,35,2,1,1,1,4,10,1,1,1,1
100210,0.42734392782348,70,2,3,4,1,6,10,1,1,1,1
100216,0.33053887450968,67,2,4,4,1,6,10,1,1,1,1
100217,0.33053887450968,70,2,3,4,2,6,10,1,0,0,1
100218,1.66251396563181,48,2,2,1,1,5,220,5,4,4,2
100219,1.15553464510384,85,2,4,4,2,6,210,2,1,1,1
100221,1.28402124415241,62,2,2,4,1,5,210,2,1,1,2
100229,0.66489108195414,41,1,1,1,1,4,10,1,1,1,1
100232,1.39117030312653,33,2,2,2,1,4,210,2,2,2,2
100236,0.85354134135828,45,1,2,2,1,5,220,5,2,2,1
100236,0.8548415731975,14,1,1,5,2,1,220,5,2,2,3
100240,1.22748659980432,42,1,2,1,1,4,220,5,2,2,1
100240,1.40856681827881,8,1,1,5,2,1,220,5,2,2,4
100245,1.01118746734806,34,2,2,1,1,4,220,4,2,2,2
100246,0.71661510982861,35,2,4,2,2,4,10,1,0,0,1
100249,0.76346429424053,83,1,2,4,1,6,210,2,1,1,1
100253,0.92569230168743,30,2,2,1,1,4,220,3,2,2,2
100258,1.26957027311099,23,1,1,1,1,3,230,2,2,2,2
100267,0.91484110295091,36,1,2,1,1,4,220,4,2,2,1
100269,1.1429783217406,48,2,2,1,1,5,220,3,1,1,1
100272,1.30188006007267,54,2,2,1,1,5,220,3,1,1,2
100273,0.35801189284079,66,2,4,4,1,6,10,1,1,1,1
100279,1.78536775846198,28,1,1,1,1,4,210,2,2,2,1
100282,1.17175258552821,6,2,1,5,2,1,220,4,1,1,3
100289,1.42389536737695,51,1,2,1,1,5,220,3,2,2,2
100290,3.20072918458758,62,1,2,1,1,5,220,3,1,1,1
100291,0.86539664084813,73,2,2,4,2,6,210,2,0,0,2
100293,1.10373284756847,62,1,4,4,1,5,230,2,1,1,1
100294,0.94003306801387,62,1,2,1,1,5,210,2,2,2,1
100296,1.32368005217648,14,1,1,5,2,1,220,4,2,2,3
100296,1.44262397306468,10,1,1,5,2,1,220,4,2,2,4
100297,0.6842077007747,49,1,4,1,1,5,10,1,1,1,1
100298,0.8038756702362,87,2,3,4,1,6,10,1,0,0,1
100301,1.50833661181635,32,2,2,1,1,4,220,3,1,1,2
100308,0.36092043073787,66,2,3,4,1,6,10,1,1,1,1
100309,1.47391239047596,31,2,2,2,2,4,220,3,2,2,2
100311,2.40811085379346,19,2,1,3,1,3,30,3,0,0,3
100313,0.8722890758111,40,1,1,1,1,4,10,1,0,0,1
100323,0.69558079126636,68,1,2,4,1,6,210,2,2,2,2
100330,0.37383619245169,66,2,1,4,1,6,10,1,0,0,1
100333,2.02251642902947,19,1,1,1,2,3,230,3,1,1,3
